Level,Metric,Min,Max,Mean,Count,TotalTrials
DoorKey,sr_at_500,0.1367,0.1367,0.1367,1,1
DoorKey,eps_at_70sr,,,,0,1
DoorKey,eps_at_5x99,,,,0,1
GoToLocal,sr_at_500,0.252,0.3809,0.3025222222222222,9,9
GoToLocal,eps_at_70sr,14696.0,28805.0,20904.11111111111,9,9
GoToLocal,eps_at_5x99,152966.0,353496.0,203679.25,8,9
GoToLocalx,sr_at_500,0.3086,0.3086,0.3086,1,2
GoToLocalx,eps_at_70sr,,,,0,2
GoToLocalx,eps_at_5x99,,,,0,2
GoToRedBall,sr_at_500,0.2793,0.5,0.37231818181818177,11,11
GoToRedBall,eps_at_70sr,892.0,1364.0,1051.909090909091,11,11
GoToRedBall,eps_at_5x99,9810.0,65142.0,34277.0,10,11
GoToRedBallGrey,sr_at_500,0.1465,0.3047,0.2595909090909091,11,11
GoToRedBallGrey,eps_at_70sr,751.0,1434.0,1208.6363636363637,11,11
GoToRedBallGrey,eps_at_5x99,15768.0,40024.0,25600.222222222223,9,11
PickupLoc,sr_at_500,0.1133,0.1953,0.14786,10,10
PickupLoc,eps_at_70sr,52687.0,163873.0,102591.0,10,10
PickupLoc,eps_at_5x99,,,,0,10
PutNextLocal,sr_at_500,0.0059,0.0059,0.0059,1,1
PutNextLocal,eps_at_70sr,,,,0,1
PutNextLocal,eps_at_5x99,,,,0,1
