start_time,end_time,start_time_iso,end_time_iso,project_id,num_model_requests,user_id,api_key_id,model,batch,service_tier,input_tokens,output_tokens,input_cached_tokens,input_uncached_tokens,input_text_tokens,output_text_tokens,input_cached_text_tokens,input_audio_tokens,input_cached_audio_tokens,output_audio_tokens,input_image_tokens,input_cached_image_tokens,output_image_tokens
1761091200,1761091260,2025-10-22T00:00:00+00:00,2025-10-22T00:01:00+00:00,,,,,,,,,,,,,,,,,,,,
1761091260,1761091320,2025-10-22T00:01:00+00:00,2025-10-22T00:02:00+00:00,,,,,,,,,,,,,,,,,,,,
1761091320,1761091380,2025-10-22T00:02:00+00:00,2025-10-22T00:03:00+00:00,,,,,,,,,,,,,,,,,,,,
1761091380,1761091440,2025-10-22T00:03:00+00:00,2025-10-22T00:04:00+00:00,,,,,,,,,,,,,,,,,,,,
1761091440,1761091500,2025-10-22T00:04:00+00:00,2025-10-22T00:05:00+00:00,,,,,,,,,,,,,,,,,,,,
1761091500,1761091560,2025-10-22T00:05:00+00:00,2025-10-22T00:06:00+00:00,,,,,,,,,,,,,,,,,,,,
1761091560,1761091620,2025-10-22T00:06:00+00:00,2025-10-22T00:07:00+00:00,,,,,,,,,,,,,,,,,,,,
1761091620,1761091680,2025-10-22T00:07:00+00:00,2025-10-22T00:08:00+00:00,,,,,,,,,,,,,,,,,,,,
1761091680,1761091740,2025-10-22T00:08:00+00:00,2025-10-22T00:09:00+00:00,,,,,,,,,,,,,,,,,,,,
1761091740,1761091800,2025-10-22T00:09:00+00:00,2025-10-22T00:10:00+00:00,,,,,,,,,,,,,,,,,,,,
1761091800,1761091860,2025-10-22T00:10:00+00:00,2025-10-22T00:11:00+00:00,,,,,,,,,,,,,,,,,,,,
1761091860,1761091920,2025-10-22T00:11:00+00:00,2025-10-22T00:12:00+00:00,,,,,,,,,,,,,,,,,,,,
1761091920,1761091980,2025-10-22T00:12:00+00:00,2025-10-22T00:13:00+00:00,,,,,,,,,,,,,,,,,,,,
1761091980,1761092040,2025-10-22T00:13:00+00:00,2025-10-22T00:14:00+00:00,,,,,,,,,,,,,,,,,,,,
1761092040,1761092100,2025-10-22T00:14:00+00:00,2025-10-22T00:15:00+00:00,,,,,,,,,,,,,,,,,,,,
1761092100,1761092160,2025-10-22T00:15:00+00:00,2025-10-22T00:16:00+00:00,,,,,,,,,,,,,,,,,,,,
1761092160,1761092220,2025-10-22T00:16:00+00:00,2025-10-22T00:17:00+00:00,,,,,,,,,,,,,,,,,,,,
1761092220,1761092280,2025-10-22T00:17:00+00:00,2025-10-22T00:18:00+00:00,,,,,,,,,,,,,,,,,,,,
1761092280,1761092340,2025-10-22T00:18:00+00:00,2025-10-22T00:19:00+00:00,,,,,,,,,,,,,,,,,,,,
1761092340,1761092400,2025-10-22T00:19:00+00:00,2025-10-22T00:20:00+00:00,,,,,,,,,,,,,,,,,,,,
1761092400,1761092460,2025-10-22T00:20:00+00:00,2025-10-22T00:21:00+00:00,,,,,,,,,,,,,,,,,,,,
1761092460,1761092520,2025-10-22T00:21:00+00:00,2025-10-22T00:22:00+00:00,,,,,,,,,,,,,,,,,,,,
1761092520,1761092580,2025-10-22T00:22:00+00:00,2025-10-22T00:23:00+00:00,,,,,,,,,,,,,,,,,,,,
1761092580,1761092640,2025-10-22T00:23:00+00:00,2025-10-22T00:24:00+00:00,,,,,,,,,,,,,,,,,,,,
1761092640,1761092700,2025-10-22T00:24:00+00:00,2025-10-22T00:25:00+00:00,,,,,,,,,,,,,,,,,,,,
1761092700,1761092760,2025-10-22T00:25:00+00:00,2025-10-22T00:26:00+00:00,,,,,,,,,,,,,,,,,,,,
1761092760,1761092820,2025-10-22T00:26:00+00:00,2025-10-22T00:27:00+00:00,,,,,,,,,,,,,,,,,,,,
1761092820,1761092880,2025-10-22T00:27:00+00:00,2025-10-22T00:28:00+00:00,,,,,,,,,,,,,,,,,,,,
1761092880,1761092940,2025-10-22T00:28:00+00:00,2025-10-22T00:29:00+00:00,,,,,,,,,,,,,,,,,,,,
1761092940,1761093000,2025-10-22T00:29:00+00:00,2025-10-22T00:30:00+00:00,,,,,,,,,,,,,,,,,,,,
1761093000,1761093060,2025-10-22T00:30:00+00:00,2025-10-22T00:31:00+00:00,,,,,,,,,,,,,,,,,,,,
1761093060,1761093120,2025-10-22T00:31:00+00:00,2025-10-22T00:32:00+00:00,,,,,,,,,,,,,,,,,,,,
1761093120,1761093180,2025-10-22T00:32:00+00:00,2025-10-22T00:33:00+00:00,,,,,,,,,,,,,,,,,,,,
1761093180,1761093240,2025-10-22T00:33:00+00:00,2025-10-22T00:34:00+00:00,,,,,,,,,,,,,,,,,,,,
1761093240,1761093300,2025-10-22T00:34:00+00:00,2025-10-22T00:35:00+00:00,,,,,,,,,,,,,,,,,,,,
1761093300,1761093360,2025-10-22T00:35:00+00:00,2025-10-22T00:36:00+00:00,,,,,,,,,,,,,,,,,,,,
1761093360,1761093420,2025-10-22T00:36:00+00:00,2025-10-22T00:37:00+00:00,,,,,,,,,,,,,,,,,,,,
1761093420,1761093480,2025-10-22T00:37:00+00:00,2025-10-22T00:38:00+00:00,,,,,,,,,,,,,,,,,,,,
1761093480,1761093540,2025-10-22T00:38:00+00:00,2025-10-22T00:39:00+00:00,,,,,,,,,,,,,,,,,,,,
1761093540,1761093600,2025-10-22T00:39:00+00:00,2025-10-22T00:40:00+00:00,,,,,,,,,,,,,,,,,,,,
1761093600,1761093660,2025-10-22T00:40:00+00:00,2025-10-22T00:41:00+00:00,,,,,,,,,,,,,,,,,,,,
1761093660,1761093720,2025-10-22T00:41:00+00:00,2025-10-22T00:42:00+00:00,,,,,,,,,,,,,,,,,,,,
1761093720,1761093780,2025-10-22T00:42:00+00:00,2025-10-22T00:43:00+00:00,,,,,,,,,,,,,,,,,,,,
1761093780,1761093840,2025-10-22T00:43:00+00:00,2025-10-22T00:44:00+00:00,,,,,,,,,,,,,,,,,,,,
1761093840,1761093900,2025-10-22T00:44:00+00:00,2025-10-22T00:45:00+00:00,,,,,,,,,,,,,,,,,,,,
1761093900,1761093960,2025-10-22T00:45:00+00:00,2025-10-22T00:46:00+00:00,,,,,,,,,,,,,,,,,,,,
1761093960,1761094020,2025-10-22T00:46:00+00:00,2025-10-22T00:47:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094020,1761094080,2025-10-22T00:47:00+00:00,2025-10-22T00:48:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094080,1761094140,2025-10-22T00:48:00+00:00,2025-10-22T00:49:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094140,1761094200,2025-10-22T00:49:00+00:00,2025-10-22T00:50:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094200,1761094260,2025-10-22T00:50:00+00:00,2025-10-22T00:51:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094260,1761094320,2025-10-22T00:51:00+00:00,2025-10-22T00:52:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094320,1761094380,2025-10-22T00:52:00+00:00,2025-10-22T00:53:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094380,1761094440,2025-10-22T00:53:00+00:00,2025-10-22T00:54:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094440,1761094500,2025-10-22T00:54:00+00:00,2025-10-22T00:55:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094500,1761094560,2025-10-22T00:55:00+00:00,2025-10-22T00:56:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094560,1761094620,2025-10-22T00:56:00+00:00,2025-10-22T00:57:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094620,1761094680,2025-10-22T00:57:00+00:00,2025-10-22T00:58:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094680,1761094740,2025-10-22T00:58:00+00:00,2025-10-22T00:59:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094740,1761094800,2025-10-22T00:59:00+00:00,2025-10-22T01:00:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094800,1761094860,2025-10-22T01:00:00+00:00,2025-10-22T01:01:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094860,1761094920,2025-10-22T01:01:00+00:00,2025-10-22T01:02:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094920,1761094980,2025-10-22T01:02:00+00:00,2025-10-22T01:03:00+00:00,,,,,,,,,,,,,,,,,,,,
1761094980,1761095040,2025-10-22T01:03:00+00:00,2025-10-22T01:04:00+00:00,,,,,,,,,,,,,,,,,,,,
1761095040,1761095100,2025-10-22T01:04:00+00:00,2025-10-22T01:05:00+00:00,,,,,,,,,,,,,,,,,,,,
1761095100,1761095160,2025-10-22T01:05:00+00:00,2025-10-22T01:06:00+00:00,,,,,,,,,,,,,,,,,,,,
1761095160,1761095220,2025-10-22T01:06:00+00:00,2025-10-22T01:07:00+00:00,,,,,,,,,,,,,,,,,,,,
1761095220,1761095280,2025-10-22T01:07:00+00:00,2025-10-22T01:08:00+00:00,,,,,,,,,,,,,,,,,,,,
1761095280,1761095340,2025-10-22T01:08:00+00:00,2025-10-22T01:09:00+00:00,,,,,,,,,,,,,,,,,,,,
